Date,state,district,sm_level,sm_agg_pct,sm_vol_pct,day_of_year,week,month,district_encoded,drought_risk
2018-06-26,GUJARAT,Bhavnagar,0.25,1.54,29.79124996,177,26,6,5,2
2018-06-26,GUJARAT,Kheda,0.3,2.96,30.25198735,177,26,6,11,2
2018-06-26,GUJARAT,Patan,0.04,0.31,3.781489305,177,26,6,16,2
2018-06-26,GUJARAT,The Dangs,5.97,33.9,35.04971527,177,26,6,23,0
2018-06-26,GUJARAT,Tapi,0.9,5.17,42.72514144,177,26,6,22,1
2018-06-26,GUJARAT,Panch Mahals,0.18,1.55,35.61155214,177,26,6,15,2
2018-06-26,GUJARAT,Surat,1.24,7.59,43.12788851,177,26,6,20,1
2018-06-26,GUJARAT,Sabar Kantha,0.31,2.35,33.18505969,177,26,6,19,2
2018-06-26,GUJARAT,Mahesana,0.0,0.0,13.01914021,177,26,6,12,2
2018-06-26,GUJARAT,Banas Kantha,0.01,0.06,4.412750728,177,26,6,3,2
2018-06-26,GUJARAT,Dohad,0.08,0.73,39.01202689,177,26,6,6,2
2018-06-26,GUJARAT,Ahmadabad,0.09,0.59,25.95810032,177,26,6,0,2
2018-06-26,GUJARAT,Porbandar,0.0,0.09,9.466354435,177,26,6,17,2
2018-06-26,GUJARAT,Junagadh,0.03,0.37,8.538713038,177,26,6,9,2
2018-06-26,GUJARAT,Kachchh,0.64,3.51,1.448384824,177,26,6,10,2
2018-06-26,GUJARAT,Rajkot,0.01,0.06,7.982264395,177,26,6,18,2
2018-06-25,GUJARAT,Gandhinagar,0.09,0.68,20.14494614,176,26,6,7,2
2018-06-25,GUJARAT,Narmada,0.01,0.08,46.74098156,176,26,6,13,2
2018-06-25,GUJARAT,Jamnagar,0.07,0.45,4.644848645,176,26,6,8,2
2018-06-25,GUJARAT,Vadodara,0.44,4.67,44.4762863,176,26,6,24,2
2018-06-25,GUJARAT,Navsari,1.81,11.47,45.07105355,176,26,6,14,1
2018-06-25,GUJARAT,Surendranagar,0.02,0.1,10.84289109,176,26,6,21,2
2018-06-25,GUJARAT,Bharuch,1.67,9.61,44.54838075,176,26,6,4,1
2018-06-25,GUJARAT,Valsad,6.21,37.28,41.78006504,176,26,6,25,0
2018-06-25,GUJARAT,Amreli,0.15,1.35,16.49635932,176,26,6,1,2
2018-06-25,GUJARAT,Anand,2.81,21.9,37.76482301,176,26,6,2,0
2018-06-25,GUJARAT,Bhavnagar,0.31,1.92,31.35553187,176,26,6,5,2
2018-06-25,GUJARAT,Kheda,2.68,21.29,36.48891604,176,26,6,11,0
2018-06-25,GUJARAT,Patan,0.04,0.31,3.870194616,176,26,6,16,2
2018-06-25,GUJARAT,The Dangs,7.98,47.63,38.8966642,176,26,6,23,0
2018-06-25,GUJARAT,Tapi,0.9,5.78,44.60978427,176,26,6,22,1
2018-06-25,GUJARAT,Panch Mahals,1.34,11.23,41.1934437,176,26,6,15,1
2018-06-25,GUJARAT,Surat,1.32,8.34,45.77012632,176,26,6,20,1
2018-06-25,GUJARAT,Sabar Kantha,1.65,12.98,37.72840176,176,26,6,19,1
2018-06-25,GUJARAT,Mahesana,0.03,0.2,13.28026557,176,26,6,12,2
2018-06-25,GUJARAT,Banas Kantha,0.03,0.16,4.388894959,176,26,6,3,2
2018-06-25,GUJARAT,Dohad,0.55,3.98,44.16548918,176,26,6,6,2
2018-06-25,GUJARAT,Ahmadabad,0.26,1.79,26.36345417,176,26,6,0,2
2018-06-25,GUJARAT,Porbandar,0.0,0.09,8.214012864,176,26,6,17,2
2018-06-25,GUJARAT,Junagadh,0.03,0.38,8.52402089,176,26,6,9,2
2018-06-25,GUJARAT,Kachchh,0.64,3.57,1.327411842,176,26,6,10,2
2018-06-25,GUJARAT,Rajkot,0.01,0.07,8.091656216,176,26,6,18,2
2018-06-24,GUJARAT,Gandhinagar,0.0,0.0,7.009210941,175,25,6,7,2
2018-06-24,GUJARAT,Narmada,0.0,0.0,25.7269078,175,25,6,13,2
2018-06-24,GUJARAT,Jamnagar,0.07,0.46,4.026563056,175,25,6,8,2
2018-06-24,GUJARAT,Vadodara,0.01,0.14,17.70876966,175,25,6,24,2
2018-06-24,GUJARAT,Navsari,0.04,0.26,22.43600618,175,25,6,14,2
2018-06-24,GUJARAT,Surendranagar,0.02,0.1,4.626945963,175,25,6,21,2
