state,city,station,latitude,longitude,aqi_category,aqi_label,hotspot_cluster,PM2.5,NO2
Haryana,Hisar,"Urban Estate-II, Hisar - HSPCB",29.14056,75.744941,0,Good,0,24.0,26.0
Haryana,Jind,"Police Lines, Jind - HSPCB",29.307814,76.337619,2,Moderate,0,84.0,34.0
Haryana,Kaithal,"Rishi Nagar, Kaithal - HSPCB",29.8006,76.4155,2,Moderate,0,73.0,31.0
Haryana,Karnal,"Sector-12, Karnal - HSPCB",29.6953,77.0027,3,Poor,0,102.0,6.0
Haryana,Kurukshetra,"Sector-7, Kurukshetra - HSPCB",29.966942,76.875879,3,Poor,0,102.0,4.0
Haryana,Mandikhera,"General Hospital, Mandikhera(Nuh) - HSPCB",27.9002,76.9938,2,Moderate,0,73.0,23.0
Haryana,Manesar,"Sector-2 IMT, Manesar - HSPCB",28.360699,76.93609,4,Very Poor,0,222.0,37.0
Haryana,Narnaul,"Shastri Nagar, Narnaul - HSPCB",28.060249,76.113115,1,Satisfactory,0,57.0,49.0
Haryana,Palwal,"Shyam Nagar, Palwal - HSPCB",28.1485564,77.3320667,1,Satisfactory,0,56.0,24.0
Haryana,Panchgaon,"Amity University, Panchgaon - IITM",28.3153,76.9143,4,Very Poor,0,124.0,20.0
Haryana,Panchkula,"Sector-6, Panchkula - HSPCB ",30.7057778,76.8531805555555,1,Satisfactory,0,31.0,24.0
Haryana,Panipat,"Sector-18, Panipat - HSPCB",29.432304,76.972765,1,Satisfactory,0,58.0,31.0
Haryana,Rohtak,"MD University, Rohtak - HSPCB",28.52123,76.37138,3,Poor,0,102.0,12.0
Haryana,Sirsa,"F-Block, Sirsa - HSPCB",29.5364,75.0158,2,Moderate,0,79.0,22.0
Haryana,Sonipat,"Murthal, Sonipat - HSPCB",29.0272,77.0621,4,Very Poor,0,136.0,12.0
Haryana,Yamuna Nagar,"Gobind Pura, Yamuna Nagar - HSPCB",30.1480566,77.2893471,4,Very Poor,0,182.0,16.0
Himachal Pradesh,Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB",30.943887,76.801991,3,Poor,0,119.0,24.0
Jammu_and_Kashmir,Pampore,"Khrew, Pampore - JKPCC",34.031606,75.009712,1,Satisfactory,0,60.0,30.0
Jammu_and_Kashmir,Srinagar,"Rajbagh, Srinagar - JKPCC",34.066206,74.81982,0,Good,0,26.0,23.0
Jharkhand,Dhanbad,"Sardar Patel Nagar, Dhanbad - JSPCB",23.80569,86.44268,2,Moderate,0,72.0,81.0
Karnataka,Bagalkot,"Vidayagiri, Bagalkot - KSPCB",16.172806,75.659694,3,Poor,0,110.0,23.0
Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",12.9352049,77.6814488,4,Very Poor,0,179.0,19.0
Karnataka,Bengaluru,"Bapuji Nagar, Bengaluru - KSPCB",12.951913,77.539784,2,Moderate,0,62.0,17.0
Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB",12.9756843,77.5660749,2,Moderate,0,73.0,50.0
Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB",13.029152,77.585901,3,Poor,0,94.0,81.0
Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB",12.938539,77.5901,3,Poor,0,116.0,33.0
Karnataka,Bengaluru,"Jayanagar 5th Block, Bengaluru - KSPCB",12.920984,77.584908,3,Poor,0,111.0,15.0
Karnataka,Bengaluru,"Jigani, Bengaluru - KSPCB",12.7816279,77.6299145,3,Poor,0,97.0,22.0
Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",13.0270199,77.494094,1,Satisfactory,0,39.0,26.0
Karnataka,Bengaluru,"RVCE-Mailasandra, Bengaluru - KSPCB",12.921418,77.502466,2,Moderate,0,73.0,23.0
Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB",12.990328,77.5431385,2,Moderate,0,73.0,18.0
Karnataka,Bengaluru,"Shivapura_Peenya, Bengaluru - KSPCB",13.0246342,77.5080115,1,Satisfactory,0,48.0,23.0
Karnataka,Chamarajanagar,"Urban, Chamarajanagar - KSPCB",11.55358,76.55521,1,Satisfactory,0,34.0,23.0
Karnataka,Chikkaballapur,"Chikkaballapur Rural, Chikkaballapur - KSPCB",13.428828,77.731418,4,Very Poor,0,124.0,20.0
Karnataka,Chikkamagaluru,"Kalyana Nagara, Chikkamagaluru - KSPCB",13.328028,75.797056,2,Moderate,0,73.0,9.0
Karnataka,Dharwad,"Kalabhavan, Dharwad - KSPCB",15.459706,75.008381,4,Very Poor,0,139.0,16.0
