state,city,station,latitude,longitude,CO,NH3,NO2,OZONE,PM10,PM2.5,SO2,aqi_category,aqi_label
Himachal Pradesh,Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB",30.943887,76.801991,56.0,4.0,24.0,75.0,128.0,119.0,56.0,3,Poor
Jammu_and_Kashmir,Pampore,"Khrew, Pampore - JKPCC",34.031606,75.009712,33.0,5.0,30.0,20.0,63.0,60.0,4.0,1,Satisfactory
Jammu_and_Kashmir,Srinagar,"Rajbagh, Srinagar - JKPCC",34.066206,74.81982,18.0,5.0,23.0,20.0,41.0,26.0,3.0,0,Good
Jharkhand,Dhanbad,"Sardar Patel Nagar, Dhanbad - JSPCB",23.80569,86.44268,41.0,5.0,81.0,3.0,101.0,72.0,26.0,2,Moderate
Karnataka,Bagalkot,"Vidayagiri, Bagalkot - KSPCB",16.172806,75.659694,33.0,5.0,23.0,20.0,72.0,110.0,6.0,3,Poor
Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",12.9352049,77.6814488,35.0,5.0,19.0,20.0,169.0,179.0,5.0,4,Very Poor
Karnataka,Bengaluru,"Bapuji Nagar, Bengaluru - KSPCB",12.951913,77.539784,27.0,3.0,17.0,48.0,105.0,62.0,24.0,2,Moderate
Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB",12.9756843,77.5660749,62.0,5.0,50.0,20.0,108.0,73.0,10.0,2,Moderate
Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB",13.029152,77.585901,24.0,4.0,81.0,10.0,110.0,94.0,17.0,3,Poor
Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB",12.938539,77.5901,15.0,4.0,33.0,54.0,110.0,116.0,14.0,3,Poor
Karnataka,Bengaluru,"Jayanagar 5th Block, Bengaluru - KSPCB",12.920984,77.584908,16.0,3.0,15.0,56.0,121.0,111.0,12.0,3,Poor
Karnataka,Bengaluru,"Jigani, Bengaluru - KSPCB",12.7816279,77.6299145,43.0,3.0,22.0,28.0,118.0,97.0,18.0,3,Poor
Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",13.0270199,77.494094,35.0,4.0,26.0,25.0,83.0,39.0,13.0,1,Satisfactory
Karnataka,Bengaluru,"RVCE-Mailasandra, Bengaluru - KSPCB",12.921418,77.502466,22.0,4.0,23.0,26.0,105.0,73.0,11.0,2,Moderate
Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB",12.990328,77.5431385,24.0,5.0,18.0,20.0,60.0,73.0,6.0,2,Moderate
Karnataka,Bengaluru,"Shivapura_Peenya, Bengaluru - KSPCB",13.0246342,77.5080115,33.0,4.0,23.0,26.0,84.0,48.0,12.0,1,Satisfactory
Karnataka,Chamarajanagar,"Urban, Chamarajanagar - KSPCB",11.55358,76.55521,22.0,2.0,23.0,26.0,50.0,34.0,4.0,1,Satisfactory
Karnataka,Chikkaballapur,"Chikkaballapur Rural, Chikkaballapur - KSPCB",13.428828,77.731418,10.0,3.0,20.0,18.0,90.0,124.0,23.0,4,Very Poor
